Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Average per acre ................................................... dollars, 2007","3,233","2,541","4,041","4,099","2,441","3,108","2,470",,"3,774",,,,
2002,"2,768","1,675","3,033","3,109","1,644","1,840","1,515",,"2,809",,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 ..............................................................................",36,105,49,34,35,83,22,,81,,,,
"$50,000 to $99,999 .....................................................................",71,127,73,37,67,157,53,,74,,,,
"$100,000 to $199,999 .................................................................",209,253,125,104,109,276,89,,147,,,,
"$200,000 to $499,999 .................................................................",333,301,180,228,155,366,192,,251,,,,
"$500,000 to $999,999 .................................................................",158,112,65,97,93,135,63,,107,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ...........................................................",56,33,20,38,18,52,33,,39,,,,
"$2,000,000 to $4,999,999 ...........................................................",15,25,4,14,7,20,10,,5,,,,
"$5,000,000 to $9,999,999 ...........................................................",2,12,-,-,-,-,-,,1,,,,
"$10,000,000 or more ..................................................................",-,3,-,2,-,1,-,,-,,,,
,,,,,,,,,,,,,
"pproximate land area .....................................................acres, 2007","170,011","383,520","218,269","193,709","182,871","279,146","151,144",,"278,018",,,,
"Proportion in farms ...............................................percent, 2007",68.7,46.9,18,32.6,39.2,44.7,51.5,,23.1,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,60,36,46,38,14,53,17,,35,,,,
acres,(D),170,(D),227,66,313,(D),,151,,,,
10 to 49 acres ....................................................................farms,269,344,259,202,132,397,104,,290,,,,
acres,"7,003","9,920","6,986","5,295","4,206","11,543","2,867",,"7,417",,,,
50 to 69 acres ....................................................................farms,86,101,57,51,58,151,47,,89,,,,
acres,"4,940","5,809","3,276","2,961","3,413","8,534","2,684",,"5,170",,,,
70 to 99 acres ....................................................................farms,101,122,52,77,54,145,53,,81,,,,
acres,"8,391","9,974","4,321","6,491","4,479","12,180","4,335",,"6,618",,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,107,93,28,63,69,113,62,,78,,,,
acres,"12,490","10,966","3,265","7,416","7,893","13,037","7,076",,"9,137",,,,
140 to 179 acres ................................................................farms,61,62,29,42,49,63,35,,36,,,,
acres,"9,436","9,690","4,584","6,711","7,647","9,740","5,560",,"5,492",,,,
180 to 219 acres ................................................................farms,47,59,15,22,27,39,24,,28,,,,
acres,"9,444","11,707","2,997","4,253","5,296","7,719","4,682",,"5,571",,,,
220 to 259 acres ................................................................farms,42,26,8,11,23,31,19,,23,,,,
acres,"9,837","6,149","1,888","2,584",(D),"7,284","4,610",,(D),,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,68,70,12,31,36,65,65,,36,,,,
acres,"24,646","23,328","4,494","12,094","11,928","23,043","22,057",,"12,119",,,,
500 to 999 acres ................................................................farms,32,30,9,14,13,23,34,,8,,,,
acres,"19,191","19,157","6,150","9,324","8,452","15,101","20,690",,"5,179",,,,
"1,000 to 1,999 acres ..........................................................farms",6,11,1,2,7,9,1,,1,,,,
acres,"8,532","15,183",(D),(D),"8,492",(D),(D),,(D),,,,
"2,000 acres or more ...........................................................farms",1,17,-,1,2,1,1,,-,,,,
acres,(D),"57,650",-,(D),(D),(D),(D),,-,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,52,37,90,61,8,146,53,,62,,,,
acres,(D),191,455,312,44,687,(D),,(D),,,,
10 to 49 acres ....................................................................farms,327,290,272,196,136,514,141,,320,,,,
acres,"8,260","8,923","6,916","5,931","4,052","14,088","3,927",,"8,567",,,,
50 to 69 acres ....................................................................farms,76,109,65,96,42,163,53,,126,,,,
acres,"4,410","6,267","3,785","5,705","2,398","9,342","3,156",,"7,217",,,,
70 to 99 acres ....................................................................farms,135,118,56,100,73,184,67,,125,,,,
acres,"11,197","9,599","4,763","8,536","5,901","15,143","5,511",,"10,253",,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,121,135,34,66,84,126,64,,105,,,,
acres,"14,340","15,892","3,963","7,628","9,839","14,579","7,283",,"12,104",,,,
140 to 179 acres ................................................................farms,83,67,22,46,55,86,19,,57,,,,
acres,"13,091","10,635","3,380","7,155","8,563","13,424","3,036",,"8,949",,,,
180 to 219 acres ................................................................farms,67,52,9,40,28,43,25,,32,,,,
acres,"13,271","10,241","1,835","8,023",(D),"8,479","4,947",,"6,297",,,,
220 to 259 acres ................................................................farms,24,38,4,15,15,37,16,,14,,,,
acres,"5,858","9,109",951,"3,480","3,578","8,712","3,742",,"3,331",,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,57,72,12,33,46,59,49,,29,,,,
acres,"19,715","24,371","4,191","12,206","15,945","19,383","16,576",,"8,969",,,,
500 to 999 acres ................................................................farms,22,26,9,12,17,22,22,,8,,,,
acres,"14,763","18,316","7,111","8,453","11,202","14,610","14,192",,"5,205",,,,
"1,000 to 1,999 acres ..........................................................farms",8,13,-,4,7,6,3,,2,,,,
